k,Power,Spec ID,Method,Resolution
4.826206368950125,0.0002034661,000,nbody,n_128
4.930216333569583,0.0001308487,000,nbody,n_128
5.083301117030769,0.0001122672,000,nbody,n_128
5.197475390521651,0.0001225418,000,nbody,n_128
5.288848612851312,0.00011867420000000001,000,nbody,n_128
5.406247417041839,0.0001076818,000,nbody,n_128
5.518537363259099,8.606133e-05,000,nbody,n_128
5.648197175258057,8.260426e-05,000,nbody,n_128
5.739442848925981,7.872109e-05,000,nbody,n_128
5.882779270383075,6.517874e-05,000,nbody,n_128
5.989987376323889,6.731163e-05,000,nbody,n_128
6.128539152169568,3.67744e-05,000,nbody,n_128
6.273071263790619,4.273476e-05,000,nbody,n_128
6.407516978038055,3.213951e-05,000,nbody,n_128
6.540601126029427,2.8765130000000002e-05,000,nbody,n_128
6.693860582042151,2.2933459999999997e-05,000,nbody,n_128
6.787297830745219,2.069921e-05,000,nbody,n_128
6.959664453277077,1.636517e-05,000,nbody,n_128
7.104642671054938,1.26613e-05,000,nbody,n_128
7.2475034553842805,1.1199200000000001e-05,000,nbody,n_128
7.413235034231756,7.552604e-06,000,nbody,n_128
7.588561037043295,4.400409e-06,000,nbody,n_128
7.7289273968056875,2.746725e-06,000,nbody,n_128
7.911359682199646,1.396574e-06,000,nbody,n_128
8.060629315542311,8.128271e-07,000,nbody,n_128
8.233636822975503,6.646384e-07,000,nbody,n_128
8.424268665195331,4.903739000000001e-07,000,nbody,n_128
8.587084846060275,3.848387e-07,000,nbody,n_128
8.78354120105986,3.933974e-07,000,nbody,n_128
8.964842513098526,4.384518e-07,000,nbody,n_128
9.151327453015616,4.236816e-07,000,nbody,n_128
9.36081513434229,5.286699e-07,000,nbody,n_128
9.557610781348464,6.231573e-07,000,nbody,n_128
9.77575669202843,7.693575000000001e-07,000,nbody,n_128
9.976944285564322,8.103613e-07,000,nbody,n_128
10.183422321128857,5.928421999999999e-07,000,nbody,n_128
10.383240180267782,3.085267e-07,000,nbody,n_128
10.618828213360482,1.4976130000000002e-07,000,nbody,n_128
10.830389345838526,1.350358e-07,000,nbody,n_128
11.070689767911608,9.775090000000001e-08,000,nbody,n_128
11.32487602951356,8.99802e-08,000,nbody,n_128
11.569285654777538,9.258949e-08,000,nbody,n_128
11.79876014856635,6.381867e-08,000,nbody,n_128
12.059468356517153,8.393678e-08,000,nbody,n_128
12.31815966198435,7.654304e-08,000,nbody,n_128
12.581443975911098,8.285044e-08,000,nbody,n_128
12.856980501186843,9.235870000000001e-08,000,nbody,n_128
13.146377733250228,8.352327e-08,000,nbody,n_128
13.423478771667462,7.483551e-08,000,nbody,n_128
13.702024942705346,6.028735e-08,000,nbody,n_128
13.990630493420028,5.981885e-08,000,nbody,n_128
14.289465069814796,4.306595e-08,000,nbody,n_128
14.598189379883065,5.20926e-08,000,nbody,n_128
14.91337908763242,3.975388e-08,000,nbody,n_128
15.225521450507795,4.534369e-08,000,nbody,n_128
15.539737264534539,3.537198e-08,000,nbody,n_128
15.879368563128825,4.198346e-08,000,nbody,n_128
16.233356940150014,3.630609e-08,000,nbody,n_128
16.5803395655537,3.291356e-08,000,nbody,n_128
16.94265944629221,3.250061e-08,000,nbody,n_128
17.297728531186237,3.19286e-08,000,nbody,n_128
17.665439384918308,3.101387e-08,000,nbody,n_128
18.040960237987203,2.620138e-08,000,nbody,n_128
18.42670383355088,2.895152e-08,000,nbody,n_128
18.827150082733358,2.5495509999999998e-08,000,nbody,n_128
19.227200491241483,2.370445e-08,000,nbody,n_128
19.640684349936354,2.3763550000000002e-08,000,nbody,n_128
20.052886438828565,2.24013e-08,000,nbody,n_128
20.47839631420138,2.069372e-08,000,nbody,n_128
20.925507780660283,2.10218e-08,000,nbody,n_128
21.378990397020658,1.916552e-08,000,nbody,n_128
21.83104673031631,1.889603e-08,000,nbody,n_128
22.299979699347045,1.788589e-08,000,nbody,n_128
22.78281107427726,1.774027e-08,000,nbody,n_128
23.2627773167074,1.6931049999999997e-08,000,nbody,n_128
23.760261079773958,1.590585e-08,000,nbody,n_128
24.26640307219381,1.4608499999999998e-08,000,nbody,n_128
24.78692099259649,1.4855830000000001e-08,000,nbody,n_128
25.324196168213415,1.421421e-08,000,nbody,n_128
25.865536564724085,1.332219e-08,000,nbody,n_128
26.41875218146533,1.285495e-08,000,nbody,n_128
26.9872233721324,1.214268e-08,000,nbody,n_128
27.56055774822723,1.178663e-08,000,nbody,n_128
28.14435991104382,1.141143e-08,000,nbody,n_128
28.750486231256822,1.110284e-08,000,nbody,n_128
29.371830426283815,1.056745e-08,000,nbody,n_128
29.99794984214426,1.023325e-08,000,nbody,n_128
30.636252354315324,9.847229e-09,000,nbody,n_128
31.295905130160186,9.509848e-09,000,nbody,n_128
31.963009763779368,9.562348999999999e-09,000,nbody,n_128
32.65370147504169,8.858525000000001e-09,000,nbody,n_128
33.35357292003781,8.90531e-09,000,nbody,n_128
34.05887932032464,8.666872e-09,000,nbody,n_128
34.78562394887957,8.555392e-09,000,nbody,n_128
35.5324999031587,8.472409000000001e-09,000,nbody,n_128
36.297019041780395,8.515562000000001e-09,000,nbody,n_128
37.077604285232546,8.328906000000001e-09,000,nbody,n_128
37.866602713811005,8.193675e-09,000,nbody,n_128
38.67508530002703,8.438839e-09,000,nbody,n_128
39.50231691119968,8.854958e-09,000,nbody,n_128
40.34681471559646,8.783709e-09,000,nbody,n_128
41.211035438672475,9.509097e-09,000,nbody,n_128
42.092805098311445,1.0094950000000001e-08,000,nbody,n_128
43.00131599461777,1.0531e-08,000,nbody,n_128
