Coord.,Numerical,Analytical,Error,Source
4.53125,0.0,5.876565913089412e-243,5.876565913089412e-243,fd_2_results
4.59375,0.0,1.6210216538004707e-253,1.6210216538004707e-253,fd_2_results
4.65625,0.0,2.665553005419871e-264,2.665553005419871e-264,fd_2_results
4.71875,0.0,2.6128779991113716e-275,2.6128779991113716e-275,fd_2_results
4.78125,0.0,1.526807354713609e-286,1.526807354713609e-286,fd_2_results
4.84375,0.0,5.318420316303364e-298,5.318420316303364e-298,fd_2_results
4.90625,2.5e-323,1.104369419871604e-309,1.10436941987158e-309,fd_2_results
4.96875,4.454029498422616e-309,1.37e-321,4.454029498421248e-309,fd_2_results
5.03125,3.6286617236461844e-295,0.0,3.6286617236461844e-295,fd_2_results
5.09375,1.3534633126389395e-281,0.0,1.3534633126389395e-281,fd_2_results
5.15625,2.3112807789203414e-268,0.0,2.3112807789203414e-268,fd_2_results
5.21875,1.8070266539875065e-255,0.0,1.8070266539875065e-255,fd_2_results
5.28125,6.468166316815181e-243,0.0,6.468166316815181e-243,fd_2_results
5.34375,1.0599888398259375e-230,0.0,1.0599888398259375e-230,fd_2_results
5.40625,7.952854149108878e-219,0.0,7.952854149108878e-219,fd_2_results
5.46875,2.7317664659010925e-207,0.0,2.7317664659010925e-207,fd_2_results
5.53125,4.295946193834965e-196,0.0,4.295946193834965e-196,fd_2_results
5.59375,3.092877561906678e-185,0.0,3.092877561906678e-185,fd_2_results
5.65625,1.0194038409164744e-174,0.0,1.0194038409164744e-174,fd_2_results
5.71875,1.5381410485206568e-164,0.0,1.5381410485206568e-164,fd_2_results
5.78125,1.0624115506892006e-154,0.0,1.0624115506892006e-154,fd_2_results
5.84375,3.3589775995678995e-145,0.0,3.3589775995678995e-145,fd_2_results
5.90625,4.8606710702704954e-136,0.0,4.8606710702704954e-136,fd_2_results
5.96875,3.2188203198346625e-127,0.0,3.2188203198346625e-127,fd_2_results
7.03125,3.8035084564661056e-30,1.5696293910411327e-193,3.8035084564661056e-30,fd_2_results
7.09375,1.3508351448935846e-26,2.553475710042683e-184,1.3508351448935846e-26,fd_2_results
7.15625,2.423208643403204e-23,2.4762793839353765e-175,2.423208643403204e-23,fd_2_results
7.21875,2.1598669585930066e-20,1.4315313231948898e-166,2.1598669585930066e-20,fd_2_results
7.28125,7.415933243429512e-18,4.9332755141724005e-158,7.415933243429512e-18,fd_2_results
7.34375,7.017588684510301e-16,1.0134520099620164e-149,7.017588684510301e-16,fd_2_results
