RunName,Wavelength,Error(Dens),Error(Real)
fd_4_PWave_NWavelength,28,1.466952869858226e-05,2.3040571260899387e-05
fd_4_PWave_NWavelength,33,3.91495732723036e-05,6.149561051171164e-05
fd_4_PWave_NWavelength,39,0.00010604666967666344,0.00016657831854580894
fd_4_PWave_NWavelength,167,0.4424575832483471,1.2751661518522648
fd_4_PWave_NWavelength,46,0.00028324289445146787,0.00044492812534559944
fd_4_PWave_NWavelength,436,1.1739742386791427,2.9306838763148737
fd_4_PWave_NWavelength,54,0.000733300653678088,0.0011518837903674573
fd_4_PWave_NWavelength,316,0.51028905659849,1.452407075438097
fd_4_PWave_NWavelength,64,0.0020524677081152623,0.0031418356371974167
fd_4_PWave_NWavelength,196,0.9073312678002621,2.4078762097789816
fd_4_PWave_NWavelength,75,0.005073758499002956,0.02021055719031892
fd_4_PWave_NWavelength,88,0.012866034253179169,0.02020370526386763
fd_4_PWave_NWavelength,230,1.209122284037906,3.0964578063489707
fd_4_PWave_NWavelength,103,0.031787450284154244,0.09825563368148726
fd_4_PWave_NWavelength,371,1.1488706909636237,2.894534338221832
fd_4_PWave_NWavelength,121,0.07895106172016987,0.24207545677863568
gramfe_fft_PWave_NWavelength,512,1.0197824694789053e-13,2.699806186678679
gramfe_fft_PWave_NWavelength,1,4.272552770563306e-16,4.614720199936154e-16
gramfe_fft_PWave_NWavelength,2,5.458483600014052e-16,6.48440990572846e-16
gramfe_fft_PWave_NWavelength,3,6.234619889583168e-16,7.407929928119824e-16
gramfe_fft_PWave_NWavelength,4,8.870535599461715e-16,1.0740310008548748e-15
gramfe_fft_PWave_NWavelength,5,1.0130014299722552e-15,1.067834531329236e-15
gramfe_fft_PWave_NWavelength,6,1.1539705822849466e-15,1.3003310993069117e-15
gramfe_fft_PWave_NWavelength,8,1.485519606631014e-15,1.6459950806860246e-15
gramfe_fft_PWave_NWavelength,9,1.6982875067177161e-15,2.0881928659648684e-15
gramfe_fft_PWave_NWavelength,11,2.013648037375859e-15,2.5039310360373823e-15
gramfe_fft_PWave_NWavelength,12,1.7224330279121472e-15,2.0674185359005094e-15
gramfe_fft_PWave_NWavelength,142,0.00040933548367741424,0.0003895627338969529
gramfe_fft_PWave_NWavelength,15,2.418262759026793e-15,3.292796430858717e-15
gramfe_fft_PWave_NWavelength,270,0.9027171291126592,2.829239137258344
gramfe_fft_PWave_NWavelength,17,1.5679481943765925e-15,2.0419537079511706e-15
gramfe_fft_PWave_NWavelength,20,5.2906059050329856e-15,5.476612646184136e-15
gramfe_fft_PWave_NWavelength,24,4.686657691706925e-14,3.8780231196439135e-14
gramfe_fft_PWave_NWavelength,28,3.054250306984939e-13,2.3418529756461665e-13
gramfe_fft_PWave_NWavelength,33,3.0872817577556155e-12,2.744496878633669e-12
gramfe_fft_PWave_NWavelength,39,4.369735936178424e-11,4.330760621351068e-11
gramfe_fft_PWave_NWavelength,167,0.003492781908424208,0.00414538867036899
gramfe_fft_PWave_NWavelength,46,4.81179803635059e-10,4.895606261998825e-10
gramfe_fft_PWave_NWavelength,436,1.1761669021773673,2.9452431282453264
gramfe_fft_PWave_NWavelength,54,2.770025826612891e-09,2.380772807763964e-09
gramfe_fft_PWave_NWavelength,316,0.49604522481461166,1.386519339012549
