RunName,Velocity,Error(Dens),Error(Real)
gramfe_fft_Gau_v0,0.6001154259285372,2.8929570865619664e-11,3.002200400241398e-11
gramfe_fft_Gau_v0,0.8632359673866076,7.052938070869456e-10,1.2602431589651238e-09
gramfe_fft_Gau_v0,1.2417216808531581,2.9331535714376505e-08,3.981720361988455e-08
gramfe_fft_Gau_v0,1.7861544131075937,2.450492491323988e-06,1.456359527840784e-06
gramfe_fft_Gau_v0,2.569293615999135,0.0001434393320541892,0.00015018963801314214
gramfe_fft_Gau_v0,3.695800114912161,0.015304891573750192,0.015521445430423749
gramfe_fft_Gau_v0,5.316223262428928,0.4179979575708709,0.4247452080083652
gramfe_fft_Gau_v0,7.647120757953166,0.6801021107601336,0.7315515437484291
gramfe_fft_Gau_v0,11.0,0.7394333212776145,0.7386883289123429
gramfe_matmul_Gau_v0,0.011,3.231799398429613e-08,6.120741106316445e-08
gramfe_matmul_Gau_v0,0.015822948771164292,3.234793048537548e-08,6.108822940656203e-08
gramfe_matmul_Gau_v0,0.02276051889226269,3.263365279911555e-08,6.091159850375385e-08
gramfe_matmul_Gau_v0,0.032739865857944514,3.340815332756239e-08,6.077280356267803e-08
gramfe_matmul_Gau_v0,0.047094656385913355,3.5245414890792736e-08,6.080766107458621e-08
gramfe_matmul_Gau_v0,0.06774330321726293,3.9654111156531614e-08,6.16925683571481e-08
gramfe_matmul_Gau_v0,0.09744534694510915,4.7532751873032494e-08,6.404285195105349e-08
gramfe_matmul_Gau_v0,0.14017024842734474,5.69897893195992e-08,6.875010360014871e-08
gramfe_matmul_Gau_v0,0.20162787819156802,6.244608673662518e-08,7.877388820847104e-08
gramfe_matmul_Gau_v0,0.2900315988603394,5.850107636246527e-08,1.044980623638575e-07
gramfe_matmul_Gau_v0,0.4171959209805475,6.582754771132628e-08,1.1060892918401861e-07
gramfe_matmul_Gau_v0,0.6001154259285372,7.424859956779143e-08,7.162704099578702e-08
gramfe_matmul_Gau_v0,0.8632359673866076,7.089335055073607e-08,5.894501158259008e-08
gramfe_matmul_Gau_v0,1.2417216808531581,1.234959878182346e-07,1.1590331921515348e-07
gramfe_matmul_Gau_v0,1.7861544131075937,2.4859184206280043e-06,1.5246350537407847e-06
gramfe_matmul_Gau_v0,2.569293615999135,0.00014340568359618138,0.00015021684436814433
gramfe_matmul_Gau_v0,3.695800114912161,0.015304162450265193,0.015521735886318113
gramfe_matmul_Gau_v0,5.316223262428928,0.4179968962938975,0.4247439093232469
gramfe_matmul_Gau_v0,7.647120757953166,0.6801022103775118,0.7315513436850493
gramfe_matmul_Gau_v0,11.0,0.739433287390649,0.7386882950730218
base_fft_Gau_v0,0.011,3.4053567333952096e-15,1.892250745979781e-15
base_fft_Gau_v0,0.015822948771164292,3.859365168896208e-15,1.9188005437252136e-15
base_fft_Gau_v0,0.02276051889226269,3.448422581733693e-15,2.0139256788941014e-15
base_fft_Gau_v0,0.032739865857944514,3.4101831138937748e-15,1.9394625625147226e-15
base_fft_Gau_v0,0.047094656385913355,3.581000317604279e-15,2.1058414302140803e-15
base_fft_Gau_v0,0.06774330321726293,3.761193673115075e-15,2.6252524121055634e-15
base_fft_Gau_v0,0.09744534694510915,3.79022812082932e-15,2.34030629348448e-15
base_fft_Gau_v0,0.14017024842734474,3.681328590879693e-15,2.9614233147417152e-15
base_fft_Gau_v0,0.20162787819156802,3.779503987644594e-15,2.7575021807894395e-15
base_fft_Gau_v0,0.2900315988603394,4.208644042048741e-15,3.1683974201336922e-15
base_fft_Gau_v0,0.4171959209805475,3.809481393546597e-15,2.476515398566288e-15
base_fft_Gau_v0,0.6001154259285372,3.5729112478769754e-15,3.2881747676355917e-15
base_fft_Gau_v0,0.8632359673866076,4.21070908521309e-15,3.695900662808486e-15
base_fft_Gau_v0,1.2417216808531581,6.399858825470631e-15,5.995240312023769e-15
base_fft_Gau_v0,1.7861544131075937,1.1286480161660771e-14,1.1321648076275708e-14
base_fft_Gau_v0,2.569293615999135,1.8170034584092348e-14,1.834326890881441e-14
base_fft_Gau_v0,3.695800114912161,3.477689247252739e-14,3.471630493703795e-14
base_fft_Gau_v0,5.316223262428928,0.0007494854294382144,0.0007465264393682043
base_fft_Gau_v0,7.647120757953166,0.6993370016566246,0.7338860252542396
base_fft_Gau_v0,11.0,0.7394333212794043,0.7386883289105037
