RunName,Resolution,Error(Dens),Error(Real)
fd4_no_cons_NX0_TOT_X,64.0,0.4942965486237221,0.49417493821611913
fd4_no_cons_NX0_TOT_X,128.0,0.05458275503606511,0.054596670939932826
fd4_no_cons_NX0_TOT_X,256.0,0.0036386223730088263,0.0036387023413619536
fd4_no_cons_NX0_TOT_X,512.0,0.0002301510692092154,0.0002301470762235208
fd4_no_cons_NX0_TOT_X,1024.0,1.4423073574432182e-05,1.4422060224197728e-05
fd4_no_cons_NX0_TOT_X,2048.0,9.01982487345321e-07,9.020164599024409e-07
gramfe_fft_NX0_TOT_X,16.0,0.3908888063611812,0.8947122806869222
gramfe_fft_NX0_TOT_X,32.0,0.802894897364877,0.2834844934234959
gramfe_fft_NX0_TOT_X,64.0,0.0004782317615481331,0.0004669345417908596
gramfe_fft_NX0_TOT_X,128.0,2.5711999799803696e-07,4.384711173706314e-07
gramfe_fft_NX0_TOT_X,256.0,9.518737525996627e-11,1.8165230720143563e-10
gramfe_fft_NX0_TOT_X,512.0,6.664212901340956e-13,7.865822331821204e-13
gramfe_fft_NX0_TOT_X,1024.0,3.788456658096657e-12,3.789289079249115e-12
gramfe_fft_NX0_TOT_X,2048.0,3.438110210319561e-12,3.438002479163615e-12
gramfe_matmul_NX0_TOT_X,16.0,0.3908887931834119,0.8947123013748538
gramfe_matmul_NX0_TOT_X,32.0,0.8028951031808027,0.2834842195601111
gramfe_matmul_NX0_TOT_X,64.0,0.00047812843448417127,0.0004667249040543084
gramfe_matmul_NX0_TOT_X,128.0,2.4527847648225256e-07,4.659209399293272e-07
gramfe_matmul_NX0_TOT_X,256.0,1.5742636207157948e-07,1.785365724181168e-07
gramfe_matmul_NX0_TOT_X,512.0,6.682809354878863e-06,2.1818186993321087e-06
gramfe_matmul_NX0_TOT_X,1024.0,1.079043320222232e-05,1.0790488049088288e-05
gramfe_matmul_NX0_TOT_X,2048.0,2.5515571974447012e-05,2.5515391485122825e-05
base_fft_NX0_TOT_X,16.0,0.39088880692298034,0.8947122803113772
base_fft_NX0_TOT_X,32.0,4.77537020343588e-12,4.837001736917192e-12
base_fft_NX0_TOT_X,64.0,1.961972251329769e-15,1.90581057879502e-15
base_fft_NX0_TOT_X,128.0,7.309203155919651e-15,7.379594981968275e-15
base_fft_NX0_TOT_X,256.0,2.0579746267583923e-14,1.9701169813373876e-14
base_fft_NX0_TOT_X,512.0,1.932919749687281e-13,1.7505561882983137e-13
base_fft_NX0_TOT_X,1024.0,4.596255106149741e-13,5.619393727437761e-13
base_fft_NX0_TOT_X,2048.0,1.8528711720840266e-12,2.1891004755772488e-12
fluid_NX0_TOT_X,16.0,0.15866137845858774,0.12094783277926766
fluid_NX0_TOT_X,32.0,0.027240602435818603,0.05633250604513617
fluid_NX0_TOT_X,64.0,0.004002530735030359,0.012672746569665924
fluid_NX0_TOT_X,128.0,0.0005011362720228936,0.001695307373415967
fluid_NX0_TOT_X,256.0,2.0861952409375255e-05,0.00011153811649789964
fluid_NX0_TOT_X,512.0,1.108021823931202e-06,6.321933407173049e-06
fluid_NX0_TOT_X,1024.0,6.032504870568718e-08,3.996668186968044e-07
fluid_NX0_TOT_X,2048.0,3.533499216641083e-09,2.511499866169236e-08
fluid_no_limiter_NX0_TOT_X,16.0,0.1508408317070946,0.10709522810913134
fluid_no_limiter_NX0_TOT_X,32.0,0.026787552025061105,0.05204914932760332
fluid_no_limiter_NX0_TOT_X,64.0,0.003995727341131091,0.012350688132702825
fluid_no_limiter_NX0_TOT_X,128.0,0.0004982635973582565,0.0016683090112015546
fluid_no_limiter_NX0_TOT_X,256.0,2.04792856506086e-05,0.00011074172618514346
fluid_no_limiter_NX0_TOT_X,512.0,1.1063680868520404e-06,6.289558029679167e-06
fluid_no_limiter_NX0_TOT_X,1024.0,6.029403502302039e-08,3.987506152072093e-07
gramfe_matmul_single_NX0_TOT_X,16.0,0.3908888958394528,0.8947121761739254
gramfe_matmul_single_NX0_TOT_X,32.0,0.8010948775336145,0.2876638195011765
gramfe_matmul_single_NX0_TOT_X,64.0,0.0004026704700663686,0.0004226119490340352
gramfe_matmul_single_NX0_TOT_X,128.0,2.052474883385002e-06,2.314322046004236e-06
gramfe_matmul_single_NX0_TOT_X,256.0,7.553124305559321e-06,3.47881177731324e-06
gramfe_matmul_single_NX0_TOT_X,512.0,1.1347995496180374e-05,1.798359289750806e-05
gramfe_matmul_single_NX0_TOT_X,1024.0,3.898057684637024e-05,3.813271652575168e-05
