RunName,Wavelength,Error(Dens),Error(Real)
gramfe_matmul_PWave_NWavelength,3,3.7746199428092635e-08,2.8921003592729416e-08
gramfe_matmul_PWave_NWavelength,4,4.7521320017958166e-08,3.875306186221457e-08
gramfe_matmul_PWave_NWavelength,6,6.976513233183353e-08,6.728796337383189e-08
gramfe_matmul_PWave_NWavelength,9,9.819638916478359e-08,1.1183883799353503e-07
gramfe_matmul_PWave_NWavelength,13,1.206502869061447e-07,1.499763893410346e-07
gramfe_matmul_PWave_NWavelength,19,1.3429385183813737e-07,1.6472469584406557e-07
gramfe_matmul_PWave_NWavelength,27,9.847715930777602e-08,9.280561219937187e-08
gramfe_matmul_PWave_NWavelength,40,9.071608115138686e-08,7.469711145504103e-08
gramfe_matmul_PWave_NWavelength,57,1.5353436495490688e-07,1.506854375462161e-07
gramfe_matmul_PWave_NWavelength,83,2.810269906900268e-06,2.325388640019881e-06
gramfe_matmul_PWave_NWavelength,119,0.0002524114581641431,8.270114378257324e-05
gramfe_matmul_PWave_NWavelength,172,0.034357003569063696,0.038671935822772514
gramfe_matmul_PWave_NWavelength,247,0.6163624375402385,1.957484515653931
gramfe_matmul_PWave_NWavelength,355,0.25344576154882614,0.7565743250075697
gramfe_matmul_PWave_NWavelength,512,2.8194643824362882e-08,1.1780972723579834
base_fft_PWave_NWavelength,1,3.905530006386229e-15,2.083634981675693e-15
base_fft_PWave_NWavelength,2,5.174437877415901e-15,2.8034113930004018e-15
base_fft_PWave_NWavelength,3,6.637248954247501e-15,3.029227412123083e-15
base_fft_PWave_NWavelength,4,4.3689078505111675e-15,2.2774716953912616e-15
base_fft_PWave_NWavelength,6,7.0576784162983824e-15,4.984155313947011e-15
base_fft_PWave_NWavelength,9,8.068766822359264e-15,3.1963597181105647e-15
base_fft_PWave_NWavelength,13,5.5470773170662215e-15,5.419997811022607e-15
base_fft_PWave_NWavelength,19,5.687918990920351e-15,5.747425173047334e-15
base_fft_PWave_NWavelength,27,6.40813797696e-15,7.489744840495118e-15
base_fft_PWave_NWavelength,40,6.357815749563622e-15,8.296470877921375e-15
base_fft_PWave_NWavelength,57,1.1005810791799714e-14,1.1334896644335166e-14
base_fft_PWave_NWavelength,83,2.361894113991382e-14,3.084823012539181e-14
base_fft_PWave_NWavelength,119,3.381588374796367e-14,4.928283750196697e-14
base_fft_PWave_NWavelength,172,8.403345937667544e-14,1.3090843716651558e-13
base_fft_PWave_NWavelength,247,1.5036557890536786e-13,2.340627289325337e-13
base_fft_PWave_NWavelength,355,0.24839518455216583,0.7363107781855485
base_fft_PWave_NWavelength,512,1.1081749633252277e-12,5.3259812955381305
fluid_PWave_NWavelength,1,5.720033821599024e-15,1.7346684188352356e-15
fluid_PWave_NWavelength,2,1.118419593049147e-14,4.366373951449456e-15
fluid_PWave_NWavelength,3,1.613032624137034e-14,5.963494807562433e-15
fluid_PWave_NWavelength,4,2.241479571396532e-14,8.317348546005297e-15
fluid_PWave_NWavelength,6,3.4241923532740686e-14,1.475379351702959e-14
fluid_PWave_NWavelength,9,5.2345497728034645e-14,2.219954092514548e-14
fluid_PWave_NWavelength,13,5.5340931490177597e-14,2.5271288967704253e-14
fluid_PWave_NWavelength,19,1.1650944965746482e-13,5.026498152167074e-14
fluid_PWave_NWavelength,27,1.4006699446122986e-13,6.564070305099118e-14
fluid_PWave_NWavelength,40,2.42335665423532e-13,1.0077529088992065e-13
fluid_PWave_NWavelength,57,3.1299247048310885e-13,1.261548374445476e-13
fluid_PWave_NWavelength,83,4.76746246647064e-13,1.9228694157769066e-13
fluid_PWave_NWavelength,119,6.87816557182197e-13,1.6937254550264402e-13
fluid_PWave_NWavelength,172,2.0586752788598335e-12,4.673167235125232e-13
fluid_PWave_NWavelength,247,3.3203140757664955e-12,7.530365220276281e-13
fluid_PWave_NWavelength,355,7.273768826837613e-12,1.5588225155127589e-12
fluid_PWave_NWavelength,512,1.1718201279112272e-11,2.895270828640051e-12
gramfe_single_matmul_PWave_NWavelength,1,1.1488682503113523e-06,1.3763019524049014e-06
gramfe_single_matmul_PWave_NWavelength,2,1.0339390428271145e-06,1.2476830306695774e-06
gramfe_single_matmul_PWave_NWavelength,3,1.1494475984363817e-06,1.3081541965220822e-06
gramfe_single_matmul_PWave_NWavelength,4,1.098669599741697e-06,1.3827666407451034e-06
gramfe_single_matmul_PWave_NWavelength,6,1.0552466847002506e-06,1.278809577343054e-06
gramfe_single_matmul_PWave_NWavelength,9,1.0301259862899317e-06,1.166573383670766e-06
gramfe_single_matmul_PWave_NWavelength,13,9.638815754442478e-07,1.1021704722224968e-06
gramfe_single_matmul_PWave_NWavelength,19,1.0066787581308745e-06,1.077993374565267e-06
gramfe_single_matmul_PWave_NWavelength,27,9.668947313912213e-07,1.1110496416222304e-06
gramfe_single_matmul_PWave_NWavelength,40,1.042848452925682e-06,1.0524236131459477e-06
gramfe_single_matmul_PWave_NWavelength,57,9.566388143866789e-07,1.0620581178955035e-06
gramfe_single_matmul_PWave_NWavelength,83,4.17960745835444e-06,3.204350832675118e-06
gramfe_single_matmul_PWave_NWavelength,119,0.0002973023842969269,0.00029562336771959963
gramfe_single_matmul_PWave_NWavelength,172,0.04414926824392751,0.03400895772210788
gramfe_single_matmul_PWave_NWavelength,247,0.6404121314990334,2.064006359258201
