Coord. Numerical Analytical Error
 3.3203125000000000e-01 -9.6843210414249203e-02 -9.6843210414249203e-02 0.0000000000000000e+00
 3.3984375000000000e-01 -1.8535439574041701e-01 -1.8535439574041701e-01 0.0000000000000000e+00
 3.4765625000000000e-01 -1.9767245167190087e-01 -1.9767245167190087e-01 0.0000000000000000e+00
 3.5546875000000000e-01 -1.5201382541220129e-01 -1.5201382541220129e-01 0.0000000000000000e+00
 3.6328125000000000e-01 -7.8339147293400219e-02 -7.8339147293400219e-02 0.0000000000000000e+00
 3.7109375000000000e-01 -5.9988998382393107e-03 -5.9988998382393107e-03 0.0000000000000000e+00
 3.7890625000000000e-01 4.4901689843360917e-02 4.4901689843360917e-02 0.0000000000000000e+00
 3.8671875000000000e-01 6.6746968941941653e-02 6.6746968941941653e-02 0.0000000000000000e+00
 3.9453125000000000e-01 6.2825131303678255e-02 6.2825131303678255e-02 0.0000000000000000e+00
 4.0234375000000000e-01 4.2875242649508531e-02 4.2875242649508531e-02 0.0000000000000000e+00
 4.1015625000000000e-01 1.8064185645663304e-02 1.8064185645663304e-02 0.0000000000000000e+00
 4.1796875000000000e-01 -2.8390936346388723e-03 -2.8390936346388723e-03 0.0000000000000000e+00
 4.2578125000000000e-01 -1.5275235512773981e-02 -1.5275235512773981e-02 0.0000000000000000e+00
 4.3359375000000000e-01 -1.8792736040588634e-02 -1.8792736040588634e-02 0.0000000000000000e+00
 4.4140625000000000e-01 -1.5717871283324067e-02 -1.5717871283324067e-02 0.0000000000000000e+00
 4.4921875000000000e-01 -9.4438870017943700e-03 -9.4438870017943700e-03 0.0000000000000000e+00
 4.5703125000000000e-01 -3.0142046843971040e-03 -3.0142046843971040e-03 0.0000000000000000e+00
 4.6484375000000000e-01 1.6607629285488759e-03 1.6607629285488759e-03 0.0000000000000000e+00
 4.7265625000000000e-01 3.9413041236742241e-03 3.9413041236742241e-03 0.0000000000000000e+00
 4.8046875000000000e-01 4.1512152288632588e-03 4.1512152288632588e-03 0.0000000000000000e+00
 4.8828125000000000e-01 3.0939571291922104e-03 3.0939571291922104e-03 0.0000000000000000e+00
 4.9609375000000000e-01 1.6141192141897640e-03 1.6141192141897640e-03 0.0000000000000000e+00
