Coord.,Numerical,Analytical,Error,Source,Index
0.50390625,3.2828972582823605e-06,3.2828972582823605e-06,0.0,fd_2_results,000000
0.51171875,1.8050174910786147e-06,1.8050174910786147e-06,0.0,fd_2_results,000000
0.51953125,9.803883957960334e-07,9.803883957960334e-07,0.0,fd_2_results,000000
0.52734375,5.260178858777154e-07,5.260178858777154e-07,0.0,fd_2_results,000000
0.53515625,2.787873885162488e-07,2.787873885162488e-07,0.0,fd_2_results,000000
0.54296875,1.459427383752717e-07,1.459427383752717e-07,0.0,fd_2_results,000000
0.55078125,7.544933231913061e-08,7.544933231913061e-08,0.0,fd_2_results,000000
0.55859375,3.8506303801359966e-08,3.8506303801359966e-08,0.0,fd_2_results,000000
0.56640625,1.9384818374096127e-08,1.9384818374096127e-08,0.0,fd_2_results,000000
0.57421875,9.608995407800411e-09,9.608995407800411e-09,0.0,fd_2_results,000000
0.58203125,4.671892775625676e-09,4.671892775625676e-09,0.0,fd_2_results,000000
0.58984375,2.208827670115633e-09,2.208827670115633e-09,0.0,fd_2_results,000000
0.59765625,9.959246147974886e-10,9.959246147974886e-10,0.0,fd_2_results,000000
0.60546875,4.0914445464092797e-10,4.0914445464092797e-10,0.0,fd_2_results,000000
0.61328125,1.3680102954066598e-10,1.3680102954066598e-10,0.0,fd_2_results,000000
0.62109375,3.0259923083898805e-11,3.0259923083898805e-11,0.0,fd_2_results,000000
0.62890625,3.0259923083898805e-11,3.0259923083898805e-11,0.0,fd_2_results,000000
0.63671875,1.3680102954066598e-10,1.3680102954066598e-10,0.0,fd_2_results,000000
0.64453125,4.0914445464092797e-10,4.0914445464092797e-10,0.0,fd_2_results,000000
0.65234375,9.959246147974886e-10,9.959246147974886e-10,0.0,fd_2_results,000000
0.66015625,2.208827670115633e-09,2.208827670115633e-09,0.0,fd_2_results,000000
0.66796875,4.671892775625676e-09,4.671892775625676e-09,0.0,fd_2_results,000000
0.67578125,9.608995407800411e-09,9.608995407800411e-09,0.0,fd_2_results,000000
0.68359375,1.9384818374096127e-08,1.9384818374096127e-08,0.0,fd_2_results,000000
0.69140625,3.8506303801359966e-08,3.8506303801359966e-08,0.0,fd_2_results,000000
0.69921875,7.544933231913061e-08,7.544933231913061e-08,0.0,fd_2_results,000000
0.70703125,1.459427383752717e-07,1.459427383752717e-07,0.0,fd_2_results,000000
0.71484375,2.787873885162488e-07,2.787873885162488e-07,0.0,fd_2_results,000000
0.72265625,5.260178858777154e-07,5.260178858777154e-07,0.0,fd_2_results,000000
0.73046875,9.803883957960334e-07,9.803883957960334e-07,0.0,fd_2_results,000000
0.73828125,1.8050174910786147e-06,1.8050174910786147e-06,0.0,fd_2_results,000000
0.74609375,3.2828972582823605e-06,3.2828972582823605e-06,0.0,fd_2_results,000000
0.87890625,0.013220412678062147,0.013220412678062147,0.0,fd_2_results,000000
0.88671875,0.01930144606762316,0.01930144606762316,0.0,fd_2_results,000000
0.89453125,0.027837692742179815,0.027837692742179815,0.0,fd_2_results,000000
0.90234375,0.03966205204371731,0.03966205204371731,0.0,fd_2_results,000000
0.91015625,0.05582332192115977,0.05582332192115977,0.0,fd_2_results,000000
0.91796875,0.07761662014593781,0.07761662014593781,0.0,fd_2_results,000000
0.92578125,0.10660862238730552,0.10660862238730552,0.0,fd_2_results,000000
0.93359375,0.1446533477782745,0.1446533477782745,0.0,fd_2_results,000000
0.94140625,0.19389347787534292,0.19389347787534292,0.0,fd_2_results,000000
0.94921875,0.2567417315216153,0.2567417315216153,0.0,fd_2_results,000000
0.95703125,0.33583680124767734,0.33583680124767734,0.0,fd_2_results,000000
0.96484375,0.4339689499492277,0.4339689499492277,0.0,fd_2_results,000000
0.97265625,0.5539717056700227,0.5539717056700227,0.0,fd_2_results,000000
0.98046875,0.698578255730526,0.698578255730526,0.0,fd_2_results,000000
0.98828125,0.8702441190476272,0.8702441190476272,0.0,fd_2_results,000000
