RunName,Velocity,Error(Dens),Error(Real)
fd_4_Gau_v0,0.27097321286905174,1.5223824944964107e-09,1.5225264125393651e-09
fd_4_Gau_v0,0.3897813877804366,5.540665272402268e-09,5.53972031715045e-09
fd_4_Gau_v0,0.560680993709379,2.6243617330846672e-08,2.6243597394295042e-08
fd_4_Gau_v0,0.8065115127662721,1.5596295254277073e-07,1.5595472797481346e-07
fd_4_Gau_v0,1.1601263954413576,1.0948184741776965e-06,1.094867749988681e-06
fd_4_Gau_v0,1.66878368392219,8.540358777764977e-06,8.540432145480034e-06
fd_4_Gau_v0,2.4004617037141487,7.06083366071518e-05,7.06114086729434e-05
fd_4_Gau_v0,3.4529438695464303,0.0005996182317651598,0.0005996451088048401
fd_4_Gau_v0,4.966886723412633,0.005116419992891513,0.005120436979355489
fd_4_Gau_v0,7.144617652430375,0.04300231369355879,0.04299950579005549
fd_4_Gau_v0,10.27717446399654,0.3319429840544431,0.3319211718292587
fd_4_Gau_v0,12.0,0.6553473402859947,0.6552976181904827
fd_4_Gau_v0,14.783200459648643,0.17594306059031636,0.17579169499673764
fd_4_Gau_v0,21.264893049715713,0.5584580363181775,0.5583722745472729
fd_4_Gau_v0,22.0,0.5595706522704954,0.559554266222953
fd_4_Gau_v0,24.0,0.3692235996707359,0.3685888107983269
fd_4_Gau_v0,30.588483031812665,0.6203247033307019,0.6303303504226496
fd_4_Gau_v0,44.0,0.7045161525740891,0.704709715785302
gramfe_fft_Gau_v0,0.044,1.2349724836192678e-15,1.5012036417408308e-15
gramfe_fft_Gau_v0,0.06329179508465717,1.3113587155458053e-15,1.4764825088225788e-15
gramfe_fft_Gau_v0,0.09104207556905076,1.2826196271449345e-15,1.4637519650386508e-15
gramfe_fft_Gau_v0,0.13095946343177806,1.2644882582516906e-15,1.359344859574471e-15
gramfe_fft_Gau_v0,0.18837862554365342,1.2695925648186288e-15,1.2750767919253949e-15
gramfe_fft_Gau_v0,0.27097321286905174,1.77572273969987e-15,1.6208312250909002e-15
gramfe_fft_Gau_v0,0.3897813877804366,2.297765365690917e-15,2.323650271601625e-15
gramfe_fft_Gau_v0,0.560680993709379,3.4942795545938405e-15,3.351914350329394e-15
gramfe_fft_Gau_v0,0.8065115127662721,4.3420142709196885e-15,4.511713536025671e-15
gramfe_fft_Gau_v0,1.1601263954413576,3.738133757818629e-15,3.610434015001314e-15
gramfe_fft_Gau_v0,1.66878368392219,1.136320205455538e-14,1.1449076361887232e-14
gramfe_fft_Gau_v0,2.4004617037141487,8.79681080099173e-13,8.790031221526827e-13
gramfe_fft_Gau_v0,3.4529438695464303,1.4722227257478638e-10,1.4685333209671323e-10
gramfe_fft_Gau_v0,4.966886723412633,9.97861420313452e-09,9.992360524915043e-09
gramfe_fft_Gau_v0,7.144617652430375,2.278172396699865e-06,7.174089956931351e-07
gramfe_fft_Gau_v0,10.27717446399654,6.432339121744266e-05,6.377835115431907e-05
gramfe_fft_Gau_v0,12.0,0.0005411040297403717,0.0005369326369293847
gramfe_fft_Gau_v0,14.783200459648643,0.009769431569551856,0.009849371368492177
gramfe_fft_Gau_v0,21.264893049715713,0.3411712873773837,0.3397712583864658
gramfe_fft_Gau_v0,22.0,0.42789571502036966,0.4317983245046311
gramfe_fft_Gau_v0,24.0,0.3847195183852572,0.3860230035700215
gramfe_fft_Gau_v0,30.588483031812665,0.7419281825066703,0.7489572746599803
gramfe_fft_Gau_v0,44.0,0.704516037980002,0.7047090781202745
gramfe_matmul_Gau_v0,0.044,1.140129517026234e-08,2.2571970848438167e-08
gramfe_matmul_Gau_v0,0.06329179508465717,1.224178887010748e-08,2.1920372085123992e-08
gramfe_matmul_Gau_v0,0.09104207556905076,1.4078665160509758e-08,2.0970058667533355e-08
gramfe_matmul_Gau_v0,0.13095946343177806,1.702570671328706e-08,2.033865079537286e-08
gramfe_matmul_Gau_v0,0.18837862554365342,2.082838715852104e-08,2.1525090034212354e-08
gramfe_matmul_Gau_v0,0.27097321286905174,2.535143873383223e-08,2.5386924371778897e-08
gramfe_matmul_Gau_v0,0.3897813877804366,3.293608822439983e-08,3.304109579318027e-08
