k,Power,Method,Resolution,Spec ID
11.309733552923255,1.1520217520456105e-07,fluid,n_64,7
11.938052083641214,6.474489205665841e-08,fluid,n_64,7
12.566370614359172,8.419890003522559e-08,fluid,n_64,7
13.194689145077133,9.318654175117059e-08,fluid,n_64,7
13.82300767579509,3.652096230195381e-08,fluid,n_64,7
14.451326206513048,1.4201141373705534e-08,fluid,n_64,7
15.079644737231009,8.968296340059993e-09,fluid,n_64,7
15.707963267948966,6.586458108423744e-09,fluid,n_64,7
16.336281798666924,5.271938036406887e-09,fluid,n_64,7
16.964600329384883,4.4017250930084035e-09,fluid,n_64,7
17.59291886010284,3.665138473145137e-09,fluid,n_64,7
18.2212373908208,3.1481534185790403e-09,fluid,n_64,7
18.84955592153876,2.683051403135463e-09,fluid,n_64,7
19.47787445225672,2.4083560694432477e-09,fluid,n_64,7
20.10619298297468,2.1058416305437557e-09,fluid,n_64,7
0.6283185307179585,0.21680751342501023,fluid,n_64,8
1.2566370614359172,0.05026652195744424,fluid,n_64,8
1.884955592153876,0.027370248621114195,fluid,n_64,8
2.5132741228718345,0.009528826951774429,fluid,n_64,8
3.1415926535897927,0.0066366702260820575,fluid,n_64,8
3.769911184307752,0.0036352125079890016,fluid,n_64,8
4.39822971502571,0.00199674166255808,fluid,n_64,8
5.026548245743669,0.0012597913391917909,fluid,n_64,8
5.654866776461628,0.0007475865886114086,fluid,n_64,8
6.283185307179585,0.0003369342929313119,fluid,n_64,8
6.911503837897545,0.00015236223582876422,fluid,n_64,8
7.539822368615503,5.199114195302604e-05,fluid,n_64,8
8.168140899333462,1.1153703860482768e-05,fluid,n_64,8
8.79645943005142,5.418158510383009e-06,fluid,n_64,8
9.42477796076938,4.848339719639298e-06,fluid,n_64,8
10.053096491487338,4.376157047964863e-06,fluid,n_64,8
10.681415022205297,1.0840101013176497e-06,fluid,n_64,8
11.309733552923255,4.101236676248517e-07,fluid,n_64,8
11.938052083641214,2.2401046938269426e-07,fluid,n_64,8
12.566370614359172,1.8779925105621033e-07,fluid,n_64,8
13.194689145077133,1.6785675508359009e-07,fluid,n_64,8
13.82300767579509,7.744522501040078e-08,fluid,n_64,8
14.451326206513048,3.641924974360295e-08,fluid,n_64,8
15.079644737231009,2.432822671863298e-08,fluid,n_64,8
15.707963267948966,1.82604909015844e-08,fluid,n_64,8
16.336281798666924,1.4509801678029947e-08,fluid,n_64,8
16.964600329384883,1.19018866239383e-08,fluid,n_64,8
17.59291886010284,9.994624160400274e-09,fluid,n_64,8
18.2212373908208,8.575404605464422e-09,fluid,n_64,8
18.84955592153876,7.544372891438733e-09,fluid,n_64,8
19.47787445225672,6.814472568304393e-09,fluid,n_64,8
20.10619298297468,5.986067900097106e-09,fluid,n_64,8
0.6283185307179585,0.5038418547753386,fluid,n_64,9
1.2566370614359172,0.11671261980601975,fluid,n_64,9
1.884955592153876,0.06406191484885862,fluid,n_64,9
